window_size,seed,run_id,method,learning_rate,layer,window_index,n_steps,beta_oracle,beta_dp_raw,negative,log_error,trace_F,oracle_observability_snr
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,68,10,0.04817242974275098,-0.21301948968327217,True,,0.005026771634548122,0.24378848844776901
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,69,10,0.053678010310628556,-0.022178014686303114,True,,0.005026771634548122,0.27138592581665755
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,70,10,0.03735102444260762,-0.030383688614110123,True,,0.005026162868677214,0.1893652069686325
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,71,10,0.04177934382317029,0.03143533547380384,False,0.12354351532287877,0.005026162868677214,0.2116494412102448
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,72,10,0.04683303452403551,-0.1063071868890002,True,,0.005026162868677214,0.2370380088067371
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,73,10,0.039721652876072926,0.3257834963031945,False,0.9139017680033719,0.005026162868677214,0.2012990592657673
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,74,10,0.031981269305263814,-0.019381972511415012,True,,0.005026162868677214,0.16229643801410054
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,75,10,0.029441785232550782,-0.1985168771709934,True,,0.005025936372150264,0.14947026312814407
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,76,10,0.033840162653758825,0.35174357474633045,False,1.0167937311575121,0.005025936372150264,0.1716652185380352
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,77,10,0.03597013605313622,-0.28547675229419395,True,,0.005025936372150264,0.18240095564301012
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,78,10,0.03288772162009846,-0.25715283356482094,True,,0.005025936372150264,0.16686198555780518
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,79,10,0.02909161605084721,-0.1082195087499373,True,,0.005025936372150264,0.14770175656021908
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,80,10,0.030432673450527536,0.07056062668550325,False,0.3652223233849191,0.005027093970006585,0.15450887027784158
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,81,10,0.03076245317784223,0.057449374228219975,False,0.27126433677251943,0.005027093970006585,0.1561739914155011
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,82,10,0.022539613626646842,-0.047376354456545186,True,,0.005027093970006585,0.11459683041604439
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,83,10,0.02844974200992418,-0.055972652948304856,True,,0.005027093970006585,0.14449254429991112
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,84,10,0.028756091992409978,0.07424672604356032,False,0.41194744364603064,0.005027093970006585,0.14604046356832798
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,85,10,0.02810158022435641,-0.16461802603506528,True,,0.0050270951715480905,0.14273318791785344
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,86,10,0.025056199499848966,0.22707887219605297,False,0.9572615303175133,0.0050270951715480905,0.1273344337724462
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,87,10,0.0284052729505922,0.0532067015301068,False,0.27256736948716714,0.0050270951715480905,0.144267872157465
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,88,10,0.019494536555227,-0.2164718668948973,True,,0.0050270951715480905,0.09916902518000142
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,89,10,0.02370661980462774,0.22007685285615017,False,0.9677047321743022,0.0050270951715480905,0.12050502576638021
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,90,10,0.0217081097618802,0.019043914822003887,False,0.056865778487928606,0.005027569872878487,0.11039610712958901
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,91,10,0.0233548065824384,-0.07191117163652516,True,,0.005027569872878487,0.11873533466459091
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,92,10,0.019015573804285615,-0.12386174361528228,True,,0.005027569872878487,0.09674994254907514
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,93,10,0.024796771005037733,-0.2542515392110651,True,,0.005027569872878487,0.1260337255281593
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,94,10,0.023120308685143094,0.027533089714308984,False,0.07586132171792583,0.005027569872878487,0.11754808639591831
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,95,10,0.020588123677015756,0.19820475019820122,False,0.9834972901456713,0.0050262458193424744,0.10469397328031152
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,96,10,0.018583896117252533,-0.15363176029383885,True,,0.0050262458193424744,0.0945360935606539
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,97,10,0.018604991277225664,0.2749730743795545,False,1.1696606986479288,0.0050262458193424744,0.09464304655028538
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,98,10,0.018506251172285094,-0.22911559442424764,True,,0.0050262458193424744,0.0941424247881144
10,91,dp_sgd_lr0p10,dp_sgd,0.1,conv1,99,10,0.020335848935069768,0.3095612304448999,False,1.1824842571623662,0.0050262458193424744,0.10341578828326731
